,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
97,800,500,10.0,3.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
98,800,500,10.0,3.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
99,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
100,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
101,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
102,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
103,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
104,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
105,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
106,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
107,800,500,10.0,1.5,1.25,0.1,7.537688442211049,7.537688442211049,0.05333333333333334,0.05333333333333334,0.5
108,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
109,800,500,10.0,1.5,1.25,0.1,0.0,0.0,0.0,0.0,0.5
110,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
111,800,500,25.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
112,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
113,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
114,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
115,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
116,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
117,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
118,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
119,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
120,800,500,25.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
121,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
122,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.05333333333333334,0.05333333333333334,0.5
123,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
124,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
125,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
126,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
127,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
128,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.08,0.08,0.5
129,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
130,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
131,800,500,10.0,2.5,1.0,0.1,0.0,0.0,0.0,0.0,0.5
132,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
133,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
134,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
135,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
136,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
137,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
138,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
139,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
140,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
141,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
142,800,500,10.0,3.0,1.5,0.1,0.0,0.0,0.0,0.0,0.5
143,800,500,10.0,1.5,0.75,0.1,25.125628140703498,25.125628140703498,0.05333333333333334,0.05333333333333334,0.5
144,800,500,10.0,1.5,0.75,0.1,0.0,0.0,0.0,0.0,0.5
