,N,p,k,I,f,om_max,life,dt
39,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
40,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
41,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
42,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
43,1000,15.0,3.0,0.6749999999999999,0.1,0.08,75.75757575757575,0.1
44,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
45,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
46,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
47,1000,15.0,3.0,0.6749999999999999,0.1,0.08,75.75757575757575,0.1
48,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
49,1000,15.0,3.0,0.6749999999999999,0.1,0.08,90.90909090909088,0.1
50,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
51,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,35.353535353535335,0.1
52,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
53,1000,15.0,3.0,0.6749999999999999,0.1,0.08,136.36363636363637,0.1
54,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
55,1000,15.0,3.0,0.6749999999999999,0.1,0.08,95.95959595959596,0.1
56,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
57,1000,15.0,3.0,0.6749999999999999,0.1,0.08,45.45454545454544,0.1
58,1000,15.0,3.0,0.6749999999999999,0.1,0.08,95.95959595959596,0.1
59,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,5.050505050505052,0.1
60,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
61,1000,15.0,3.0,0.6749999999999999,0.1,0.08,40.404040404040416,0.1
62,1000,15.0,3.0,0.6749999999999999,0.1,0.08,90.90909090909088,0.1
63,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
64,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
65,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,35.353535353535335,0.1
66,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
67,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
68,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,40.404040404040416,0.1
69,1000,15.0,3.0,0.6749999999999999,0.1,0.08,106.06060606060606,0.1
70,1000,15.0,3.0,0.6749999999999999,0.1,0.08,202.02020202020202,0.1
71,1000,15.0,3.0,0.6749999999999999,0.1,0.08,126.26262626262627,0.1
72,1000,15.0,3.0,0.6749999999999999,0.1,0.08,242.42424242424238,0.1
73,1000,15.0,3.0,0.6749999999999999,0.1,0.08,75.75757575757575,0.1
74,1000,15.0,3.0,0.6749999999999999,0.1,0.08,126.26262626262627,0.1
75,1000,15.0,3.0,0.6749999999999999,0.1,0.08,10.101010101010104,0.1
76,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,30.30303030303031,0.1
77,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,106.06060606060606,0.1
78,1000,15.0,3.0,0.6749999999999999,0.1,0.08,80.80808080808083,0.1
79,1000,15.0,3.0,0.6749999999999999,0.1,0.08,121.21212121212119,0.1
